domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.lanacion.com.ar,0.09964460531687422,0.21025684268516892,0.41690315014894846,0.2412968157598086,238.0
www.elpais.com.uy,0.08961021243335072,0.18462071602988706,0.42350584108562833,0.21872935316967868,141.0
www.abc.es,0.10970211574235901,0.17742974674770187,0.41170855727739786,0.17434904971305687,138.0
www.eldiario.es,0.10315647924973322,0.18837641384905346,0.44021800304339986,0.1975402256737948,117.0
www.latercera.com,0.033197352779495634,0.14642700122211066,0.31600129182986325,0.20555225283496736,105.0
www.elmundo.es,0.05899187232520566,0.19059999225516303,0.41181944598611264,0.20346594691984687,78.0
www.europapress.es,0.07310237111373474,0.15718259045794009,0.37115397754602303,0.17117471578814136,66.0
www.xataka.com,0.10504305439676319,0.17925051738903,0.4305720200129541,0.16839663903652005,52.0
www.huffingtonpost.es,0.06361438262173556,0.2253558267646585,0.43759526285261574,0.2033306670072855,51.0
www.bostonherald.com,0.030007215007215007,0.17281943464164407,0.36410407647907644,0.18806481910393616,50.0
www.elespanol.com,0.17826899765176166,0.17552050494600674,0.45120645041064295,0.16882224473040408,46.0
www.elconfidencial.com,0.09704329920520398,0.17814102791078798,0.4311439016010445,0.21972970808322617,45.0
www.nacion.com,0.10571619253762111,0.19489087336981578,0.44939171762981284,0.2393624417315402,45.0
www.montevideo.com.uy,0.06045879715522573,0.2263351887148275,0.4234715007215007,0.2759245699921566,42.0
www.libertaddigital.com,0.07000371602200871,0.19107003575337134,0.4440567257945307,0.29450539050262575,41.0
actualidad.rt.com,0.07761943526746158,0.210920854390867,0.43810021423508266,0.2679806098960942,38.0
rurales.elpais.com.uy,0.09846707746707746,0.18001318980593076,0.3191244751244751,0.17120644183002787,37.0
www.mundodeportivo.com,0.09992048704548705,0.14881239001830443,0.38621014033514034,0.17242847158042038,37.0
www.elperiodico.com,0.08724124206792273,0.14937567933717988,0.331531406851785,0.16936863477843425,34.0
www.marca.com,0.12052571166207529,0.2380258538506646,0.3521414906642179,0.28452298459226283,33.0
es.gizmodo.com,0.08434128147837826,0.16053366526864854,0.525767935554802,0.1516193219448498,31.0
www.df.cl,0.0445784279577383,0.14732487437081213,0.3775014222686637,0.25020615449891304,29.0
www.expansion.com,0.11269119769119769,0.15289400738084405,0.3842398188231521,0.18857054439578466,27.0
www.jornada.com.mx,0.0809664101330768,0.16093092579245497,0.37365787504676395,0.22359055282873724,27.0
www.elfinanciero.com.mx,0.06774477770906343,0.17550733008651787,0.38047972926544354,0.26901469253750093,21.0
www.lavozdegalicia.es,0.09107349000206144,0.27083426299688124,0.36954743008314433,0.1853611494695484,21.0
www.bbc.com,0.19864671850782964,0.24840803587881452,0.4453278819945486,0.28486206619015436,18.0
